[2024-05-31T23:49:33] Estimation window: 2002-08-15 - 2006-08-03, Best order: (4, 0, 5), AIC: -6526.1, Final model converged
[2024-05-31T23:50:00] Estimation window: 2002-08-16 - 2006-08-04, Best order: (4, 0, 5), AIC: -6527.65, Final model converged
[2024-05-31T23:50:27] Estimation window: 2002-08-19 - 2006-08-07, Best order: (4, 0, 5), AIC: -6527.45, Final model converged
[2024-05-31T23:50:52] Estimation window: 2002-08-20 - 2006-08-08, Best order: (4, 0, 5), AIC: -6530.83, Final model converged
[2024-05-31T23:51:20] Estimation window: 2002-08-21 - 2006-08-09, Best order: (4, 0, 5), AIC: -6533.93, Final model converged
[2024-05-31T23:51:45] Estimation window: 2002-08-22 - 2006-08-10, Best order: (4, 0, 5), AIC: -6534.57, Final model converged
[2024-05-31T23:52:10] Estimation window: 2002-08-23 - 2006-08-11, Best order: (4, 0, 5), AIC: -6535.6, Final model converged
[2024-05-31T23:52:36] Estimation window: 2002-08-26 - 2006-08-14, Best order: (4, 0, 5), AIC: -6541.83, Final model converged
[2024-05-31T23:53:01] Estimation window: 2002-08-27 - 2006-08-15, Best order: (4, 0, 5), AIC: -6540.44, Final model converged
[2024-05-31T23:53:24] Estimation window: 2002-08-28 - 2006-08-16, Best order: (4, 0, 5), AIC: -6540.96, Final model converged
[2024-05-31T23:53:49] Estimation window: 2002-08-29 - 2006-08-17, Best order: (4, 0, 5), AIC: -6543.26, Final model converged
[2024-05-31T23:54:15] Estimation window: 2002-08-30 - 2006-08-18, Best order: (4, 0, 5), AIC: -6543.43, Final model converged
[2024-05-31T23:54:40] Estimation window: 2002-09-03 - 2006-08-21, Best order: (4, 0, 5), AIC: -6543.23, Final model converged
[2024-05-31T23:55:03] Estimation window: 2002-09-04 - 2006-08-22, Best order: (4, 0, 5), AIC: -6563.26, Final model converged
[2024-05-31T23:55:27] Estimation window: 2002-09-05 - 2006-08-23, Best order: (5, 0, 5), AIC: -6569.81, Final model converged
[2024-05-31T23:55:51] Estimation window: 2002-09-06 - 2006-08-24, Best order: (4, 0, 5), AIC: -6569.36, Final model converged
[2024-05-31T23:56:11] Estimation window: 2002-09-09 - 2006-08-25, Best order: (4, 0, 4), AIC: -6567.66, Final model converged
[2024-05-31T23:56:38] Estimation window: 2002-09-10 - 2006-08-28, Best order: (5, 0, 5), AIC: -6578.88, Final model converged
[2024-05-31T23:57:03] Estimation window: 2002-09-11 - 2006-08-29, Best order: (5, 0, 5), AIC: -6579.33, Final model converged
[2024-05-31T23:57:22] Estimation window: 2002-09-12 - 2006-08-30, Best order: (3, 0, 4), AIC: -6566.95, Final model converged
